source,target
cube40_cluster0,cube42_cluster0
cube40_cluster0,cube50_cluster0
cube40_cluster0,cube50_cluster2
cube40_cluster0,cube51_cluster0
cube40_cluster0,cube52_cluster0
cube40_cluster0,cube53_cluster0
cube40_cluster0,cube59_cluster0
cube40_cluster0,cube59_cluster1
cube40_cluster0,cube60_cluster0
cube40_cluster0,cube60_cluster1
cube40_cluster0,cube61_cluster1
cube40_cluster0,cube61_cluster2
cube40_cluster0,cube62_cluster0
cube40_cluster0,cube65_cluster0
cube40_cluster0,cube65_cluster2
cube40_cluster0,cube66_cluster0
cube40_cluster0,cube66_cluster2
cube40_cluster0,cube67_cluster0
cube40_cluster0,cube67_cluster1
cube40_cluster1,cube41_cluster1
cube40_cluster1,cube42_cluster1
cube40_cluster1,cube43_cluster0
cube40_cluster1,cube51_cluster1
cube40_cluster1,cube52_cluster1
cube40_cluster1,cube53_cluster1
cube40_cluster2,cube41_cluster0
cube40_cluster2,cube42_cluster0
cube40_cluster2,cube43_cluster1
cube40_cluster2,cube51_cluster0
cube40_cluster2,cube52_cluster0
cube40_cluster2,cube53_cluster2
cube40_cluster2,cube60_cluster0
cube40_cluster2,cube61_cluster1
cube40_cluster2,cube62_cluster2
cube40_cluster2,cube66_cluster0
cube40_cluster2,cube67_cluster1
cube41_cluster0,cube42_cluster0
cube41_cluster0,cube42_cluster2
cube41_cluster0,cube43_cluster1
cube41_cluster0,cube43_cluster2
cube41_cluster0,cube51_cluster0
cube41_cluster0,cube52_cluster0
cube41_cluster0,cube53_cluster2
cube41_cluster0,cube60_cluster0
cube41_cluster0,cube61_cluster1
cube41_cluster0,cube62_cluster2
cube41_cluster0,cube66_cluster0
cube41_cluster0,cube67_cluster1
cube41_cluster1,cube42_cluster1
cube41_cluster1,cube43_cluster0
cube41_cluster1,cube51_cluster1
cube41_cluster1,cube52_cluster1
cube41_cluster1,cube53_cluster1
cube41_cluster1,cube61_cluster0
cube41_cluster1,cube62_cluster1
cube41_cluster2,cube42_cluster0
cube41_cluster2,cube50_cluster0
cube41_cluster2,cube50_cluster2
cube41_cluster2,cube51_cluster0
cube41_cluster2,cube52_cluster0
cube41_cluster2,cube53_cluster0
cube41_cluster2,cube59_cluster0
cube41_cluster2,cube59_cluster1
cube41_cluster2,cube60_cluster0
cube41_cluster2,cube60_cluster1
cube41_cluster2,cube61_cluster1
cube41_cluster2,cube61_cluster2
cube41_cluster2,cube62_cluster0
cube41_cluster2,cube65_cluster0
cube41_cluster2,cube65_cluster2
cube41_cluster2,cube66_cluster0
cube41_cluster2,cube66_cluster2
cube41_cluster2,cube67_cluster0
cube41_cluster2,cube67_cluster1
cube42_cluster0,cube43_cluster1
cube42_cluster0,cube50_cluster0
cube42_cluster0,cube51_cluster0
cube42_cluster0,cube52_cluster0
cube42_cluster0,cube53_cluster0
cube42_cluster0,cube53_cluster2
cube42_cluster0,cube59_cluster1
cube42_cluster0,cube60_cluster0
cube42_cluster0,cube60_cluster1
cube42_cluster0,cube61_cluster1
cube42_cluster0,cube61_cluster2
cube42_cluster0,cube62_cluster0
cube42_cluster0,cube62_cluster2
cube42_cluster0,cube65_cluster2
cube42_cluster0,cube66_cluster0
cube42_cluster0,cube66_cluster2
cube42_cluster0,cube67_cluster0
cube42_cluster0,cube67_cluster1
cube42_cluster1,cube43_cluster0
cube42_cluster1,cube51_cluster1
cube42_cluster1,cube52_cluster1
cube42_cluster1,cube53_cluster1
cube42_cluster1,cube61_cluster0
cube42_cluster1,cube62_cluster1
cube42_cluster2,cube43_cluster2
cube43_cluster0,cube51_cluster1
cube43_cluster0,cube52_cluster1
cube43_cluster0,cube53_cluster1
cube43_cluster0,cube61_cluster0
cube43_cluster0,cube62_cluster1
cube49_cluster0,cube50_cluster0
cube49_cluster0,cube51_cluster0
cube49_cluster0,cube52_cluster0
cube49_cluster0,cube58_cluster2
cube49_cluster0,cube59_cluster0
cube49_cluster0,cube60_cluster0
cube49_cluster0,cube61_cluster1
cube49_cluster0,cube64_cluster0
cube49_cluster0,cube65_cluster0
cube49_cluster0,cube66_cluster0
cube49_cluster0,cube67_cluster1
cube49_cluster1,cube50_cluster1
cube49_cluster1,cube51_cluster2
cube49_cluster1,cube52_cluster2
cube49_cluster1,cube58_cluster1
cube49_cluster1,cube59_cluster2
cube49_cluster1,cube60_cluster2
cube49_cluster1,cube61_cluster0
cube49_cluster1,cube64_cluster1
cube49_cluster1,cube65_cluster1
cube49_cluster1,cube66_cluster1
cube49_cluster1,cube67_cluster2
cube49_cluster2,cube50_cluster2
cube49_cluster2,cube51_cluster0
cube49_cluster2,cube52_cluster0
cube49_cluster2,cube58_cluster0
cube49_cluster2,cube59_cluster0
cube49_cluster2,cube60_cluster0
cube49_cluster2,cube61_cluster1
cube49_cluster2,cube64_cluster0
cube49_cluster2,cube65_cluster0
cube49_cluster2,cube66_cluster0
cube49_cluster2,cube67_cluster1
cube49_cluster2,cube69_cluster0
cube49_cluster2,cube70_cluster2
cube49_cluster2,cube71_cluster0
cube49_cluster2,cube72_cluster1
cube50_cluster0,cube51_cluster0
cube50_cluster0,cube52_cluster0
cube50_cluster0,cube53_cluster0
cube50_cluster0,cube58_cluster2
cube50_cluster0,cube59_cluster0
cube50_cluster0,cube59_cluster1
cube50_cluster0,cube60_cluster0
cube50_cluster0,cube60_cluster1
cube50_cluster0,cube61_cluster1
cube50_cluster0,cube61_cluster2
cube50_cluster0,cube62_cluster0
cube50_cluster0,cube64_cluster0
cube50_cluster0,cube65_cluster0
cube50_cluster0,cube65_cluster2
cube50_cluster0,cube66_cluster0
cube50_cluster0,cube66_cluster2
cube50_cluster0,cube67_cluster0
cube50_cluster0,cube67_cluster1
cube50_cluster1,cube51_cluster2
cube50_cluster1,cube52_cluster2
cube50_cluster1,cube58_cluster1
cube50_cluster1,cube59_cluster2
cube50_cluster1,cube60_cluster2
cube50_cluster1,cube61_cluster0
cube50_cluster1,cube64_cluster1
cube50_cluster1,cube65_cluster1
cube50_cluster1,cube66_cluster1
cube50_cluster1,cube67_cluster2
cube50_cluster2,cube51_cluster0
cube50_cluster2,cube52_cluster0
cube50_cluster2,cube58_cluster0
cube50_cluster2,cube59_cluster0
cube50_cluster2,cube60_cluster0
cube50_cluster2,cube61_cluster1
cube50_cluster2,cube64_cluster0
cube50_cluster2,cube65_cluster0
cube50_cluster2,cube65_cluster2
cube50_cluster2,cube66_cluster0
cube50_cluster2,cube66_cluster2
cube50_cluster2,cube67_cluster1
cube50_cluster2,cube69_cluster0
cube50_cluster2,cube70_cluster2
cube50_cluster2,cube71_cluster0
cube50_cluster2,cube72_cluster1
cube51_cluster0,cube52_cluster0
cube51_cluster0,cube53_cluster0
cube51_cluster0,cube53_cluster2
cube51_cluster0,cube58_cluster0
cube51_cluster0,cube58_cluster2
cube51_cluster0,cube59_cluster0
cube51_cluster0,cube59_cluster1
cube51_cluster0,cube60_cluster0
cube51_cluster0,cube60_cluster1
cube51_cluster0,cube61_cluster1
cube51_cluster0,cube61_cluster2
cube51_cluster0,cube62_cluster0
cube51_cluster0,cube62_cluster2
cube51_cluster0,cube64_cluster0
cube51_cluster0,cube65_cluster0
cube51_cluster0,cube65_cluster2
cube51_cluster0,cube66_cluster0
cube51_cluster0,cube66_cluster2
cube51_cluster0,cube67_cluster0
cube51_cluster0,cube67_cluster1
cube51_cluster0,cube69_cluster0
cube51_cluster0,cube70_cluster2
cube51_cluster0,cube71_cluster0
cube51_cluster0,cube72_cluster1
cube51_cluster1,cube52_cluster1
cube51_cluster1,cube53_cluster1
cube51_cluster2,cube52_cluster2
cube51_cluster2,cube58_cluster1
cube51_cluster2,cube59_cluster2
cube51_cluster2,cube60_cluster2
cube51_cluster2,cube61_cluster0
cube51_cluster2,cube64_cluster1
cube51_cluster2,cube65_cluster1
cube51_cluster2,cube66_cluster1
cube51_cluster2,cube67_cluster2
cube52_cluster0,cube53_cluster0
cube52_cluster0,cube53_cluster2
cube52_cluster0,cube58_cluster0
cube52_cluster0,cube58_cluster2
cube52_cluster0,cube59_cluster0
cube52_cluster0,cube59_cluster1
cube52_cluster0,cube60_cluster0
cube52_cluster0,cube60_cluster1
cube52_cluster0,cube61_cluster1
cube52_cluster0,cube61_cluster2
cube52_cluster0,cube62_cluster0
cube52_cluster0,cube62_cluster2
cube52_cluster0,cube64_cluster0
cube52_cluster0,cube65_cluster0
cube52_cluster0,cube65_cluster2
cube52_cluster0,cube66_cluster0
cube52_cluster0,cube66_cluster2
cube52_cluster0,cube67_cluster0
cube52_cluster0,cube67_cluster1
cube52_cluster0,cube69_cluster0
cube52_cluster0,cube70_cluster2
cube52_cluster0,cube71_cluster0
cube52_cluster0,cube72_cluster1
cube52_cluster1,cube53_cluster1
cube52_cluster1,cube61_cluster0
cube52_cluster1,cube62_cluster1
cube52_cluster2,cube58_cluster1
cube52_cluster2,cube59_cluster2
cube52_cluster2,cube60_cluster2
cube52_cluster2,cube61_cluster0
cube52_cluster2,cube64_cluster1
cube52_cluster2,cube65_cluster1
cube52_cluster2,cube66_cluster1
cube52_cluster2,cube67_cluster2
cube53_cluster0,cube59_cluster1
cube53_cluster0,cube60_cluster1
cube53_cluster0,cube61_cluster2
cube53_cluster0,cube62_cluster0
cube53_cluster0,cube65_cluster2
cube53_cluster0,cube66_cluster2
cube53_cluster0,cube67_cluster0
cube53_cluster1,cube61_cluster0
cube53_cluster1,cube62_cluster1
cube53_cluster2,cube60_cluster0
cube53_cluster2,cube61_cluster1
cube53_cluster2,cube62_cluster2
cube53_cluster2,cube66_cluster0
cube53_cluster2,cube67_cluster1
cube58_cluster0,cube59_cluster0
cube58_cluster0,cube59_cluster1
cube58_cluster0,cube60_cluster0
cube58_cluster0,cube60_cluster1
cube58_cluster0,cube61_cluster1
cube58_cluster0,cube61_cluster2
cube58_cluster0,cube64_cluster0
cube58_cluster0,cube64_cluster2
cube58_cluster0,cube65_cluster0
cube58_cluster0,cube65_cluster2
cube58_cluster0,cube66_cluster0
cube58_cluster0,cube66_cluster2
cube58_cluster0,cube67_cluster0
cube58_cluster0,cube67_cluster1
cube58_cluster0,cube69_cluster0
cube58_cluster0,cube69_cluster2
cube58_cluster0,cube70_cluster0
cube58_cluster0,cube70_cluster2
cube58_cluster0,cube71_cluster0
cube58_cluster0,cube72_cluster1
cube58_cluster0,cube77_cluster1
cube58_cluster0,cube78_cluster0
cube58_cluster0,cube78_cluster2
cube58_cluster0,cube79_cluster1
cube58_cluster0,cube80_cluster0
cube58_cluster1,cube59_cluster2
cube58_cluster1,cube60_cluster2
cube58_cluster1,cube61_cluster0
cube58_cluster1,cube64_cluster1
cube58_cluster1,cube65_cluster1
cube58_cluster1,cube66_cluster1
cube58_cluster1,cube67_cluster2
cube58_cluster1,cube69_cluster1
cube58_cluster1,cube70_cluster1
cube58_cluster1,cube71_cluster1
cube58_cluster1,cube72_cluster0
cube58_cluster2,cube59_cluster0
cube58_cluster2,cube60_cluster0
cube58_cluster2,cube61_cluster1
cube58_cluster2,cube64_cluster0
cube58_cluster2,cube65_cluster0
cube58_cluster2,cube66_cluster0
cube58_cluster2,cube67_cluster1
cube58_cluster2,cube69_cluster0
cube58_cluster2,cube69_cluster2
cube58_cluster2,cube70_cluster0
cube58_cluster2,cube70_cluster2
cube58_cluster2,cube71_cluster0
cube58_cluster2,cube72_cluster0
cube58_cluster2,cube72_cluster1
cube58_cluster2,cube77_cluster1
cube58_cluster2,cube78_cluster0
cube58_cluster2,cube79_cluster1
cube58_cluster2,cube80_cluster0
cube59_cluster0,cube60_cluster0
cube59_cluster0,cube61_cluster1
cube59_cluster0,cube64_cluster0
cube59_cluster0,cube64_cluster2
cube59_cluster0,cube65_cluster0
cube59_cluster0,cube65_cluster2
cube59_cluster0,cube66_cluster0
cube59_cluster0,cube66_cluster2
cube59_cluster0,cube67_cluster1
cube59_cluster0,cube69_cluster0
cube59_cluster0,cube69_cluster2
