source,target
cube59_cluster0,cube70_cluster0
cube59_cluster0,cube70_cluster2
cube59_cluster0,cube71_cluster0
cube59_cluster0,cube72_cluster0
cube59_cluster0,cube72_cluster1
cube59_cluster0,cube77_cluster1
cube59_cluster0,cube78_cluster0
cube59_cluster0,cube78_cluster2
cube59_cluster0,cube79_cluster1
cube59_cluster0,cube80_cluster0
cube59_cluster1,cube60_cluster0
cube59_cluster1,cube60_cluster1
cube59_cluster1,cube61_cluster1
cube59_cluster1,cube61_cluster2
cube59_cluster1,cube62_cluster0
cube59_cluster1,cube64_cluster2
cube59_cluster1,cube65_cluster0
cube59_cluster1,cube65_cluster2
cube59_cluster1,cube66_cluster0
cube59_cluster1,cube66_cluster2
cube59_cluster1,cube67_cluster0
cube59_cluster1,cube69_cluster2
cube59_cluster1,cube70_cluster0
cube59_cluster1,cube71_cluster0
cube59_cluster1,cube71_cluster2
cube59_cluster1,cube72_cluster1
